date,spy_ret_5d,spy_ret_21d,vix_5d_change,vix_percentile_jump_10d,realized_vol_21d_percentile_jump,trend_break,spy_drawdown,vix_level,spy_drawdown_speed_5d,spy_drawdown_speed_21d,vix_shock_5d,vix_percentile_jump,realized_vol_jump,trigger_count,crash_onset
2007-04-26,0.01643569864987926,0.04752826326753867,0.019936204207376962,-0.003968253968253954,-0.2698412698412698,False,0.0,13.210000038146973,False,False,False,False,False,0,False
2007-04-27,0.006123441492255743,0.054364450077158066,0.03148302601895403,0.03968253968253965,-0.4682539682539682,False,0.0,12.789999961853027,False,False,False,False,False,0,False
2007-04-30,0.0015531561431394447,0.044516667155242606,0.09049082121378316,0.25595238095238093,-0.21825396825396826,False,-0.0008012074238606948,12.449999809265137,False,False,False,True,False,1,False
2007-05-01,0.003713465433513141,0.0469720469339614,0.02972563618327606,0.16865079365079372,-0.2063492063492064,False,-0.009087327481132168,14.220000267028809,False,False,False,False,False,0,False
2007-05-02,0.0004011678166979671,0.05191347357966025,-0.009841038157873738,0.037698412698412787,-0.09920634920634924,False,-0.006547696211809062,13.510000228881836,False,False,False,False,False,0,False
2007-05-03,0.0046788398823571775,0.04635018966655924,0.023455839845944793,0.03373015873015872,-0.22619047619047616,False,-0.0007346513701204094,13.079999923706055,False,False,False,False,False,0,False
2007-05-04,0.009295529623543741,0.049148086325645046,0.036947794794715216,0.08928571428571436,0.05555555555555555,False,0.0,13.09000015258789,False,False,False,False,False,0,False
2007-05-07,0.01793818394725566,0.046520003233963214,-0.07524617639983389,0.003968253968253954,0.03174603174603177,False,0.0,12.90999984741211,False,False,False,False,False,0,False
2007-05-08,0.013990668853654187,0.043686135793084224,-0.022205787242957964,0.005952380952380931,0.05555555555555555,False,0.0,13.149999618530273,False,False,False,False,False,0,False
2007-05-09,0.010833637851229039,0.045294078674997795,-0.015290505384687236,-0.07936507936507942,-0.0357142857142857,False,-0.0013249691930662388,13.210000038146973,False,False,False,False,False,0,False
2007-05-10,-0.005121565916490267,0.03860592350366132,0.038961055992120075,0.08333333333333337,0.22222222222222227,False,0.0,12.880000114440918,False,False,False,False,False,0,False
2007-05-11,-0.0003971965435641822,0.04285918069163808,0.0030983704357707698,0.017857142857142794,0.4761904761904762,False,-0.010452242686477264,13.600000381469727,False,False,False,False,True,1,False
2007-05-14,-0.002782262989081352,0.035851843366294656,0.06159699187179357,-0.02777777777777779,0.21031746031746035,False,-0.001984692892059159,12.949999809265137,False,False,False,False,False,0,False
2007-05-15,-0.0011937236477992386,0.02638115062178059,0.060560195944335815,0.02777777777777768,0.13492063492063494,False,-0.0041675611084798225,13.960000038146973,False,False,False,False,False,0,False
2007-05-16,0.002910825549359286,0.03066156566517675,0.04813663664986656,0.05357142857142849,0.17857142857142855,False,-0.003902777652304956,14.010000228881836,False,False,False,False,False,0,False
2007-05-17,0.011498995831312309,0.02736511341392167,-0.0066176580929010465,0.05357142857142849,0.32142857142857145,False,0.0,13.5,False,False,False,False,True,1,False
2007-05-18,0.011666384689464016,0.03660892815906669,-0.014671782485074947,-0.02777777777777779,0.3412698412698413,False,-0.0019785036207152773,13.510000228881836,False,False,False,False,True,1,False
