universe_path,universe,sleeve,base_vol_weight,base_trend_weight,stress_k,stress_variant,vix_weight,drawdown_weight,cost_bps,cagr,sharpe,max_dd,volatility,turnover_sum,avg_gross,max_gross,n_rebalances,passes_max_gross,passes_full_period_dd,passes_full_period_sharpe
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_50_50_50_50_k_30,0.5,0.5,0.3,weighted_50_50,0.5,0.5,10.0,0.1822004404333375,1.7392971450392654,-0.17004049951091005,0.10475521158244887,203.9919534129562,1.1391765240878726,1.375,4407,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_50_50_50_50_k_40,0.5,0.5,0.4,weighted_50_50,0.5,0.5,10.0,0.17899845959139093,1.7519516414823961,-0.16500123212511408,0.10217089065308516,228.4921312730704,1.1450105330516491,1.3750000000000002,3941,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_50_50_40_60_k_20,0.4,0.6,0.2,weighted_50_50,0.5,0.5,10.0,0.1672711635082611,1.651869937179653,-0.16594358001157594,0.10126170332384295,167.1765501449352,1.1586387709060897,1.3750000000000002,4288,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_50_50_40_60_k_30,0.4,0.6,0.3,weighted_50_50,0.5,0.5,10.0,0.16268900669472108,1.6286190185216756,-0.16356781004980503,0.09989383940904521,183.47799013944027,1.1640700523705287,1.3750000000000002,3397,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_50_50_40_60_k_40,0.4,0.6,0.4,weighted_50_50,0.5,0.5,10.0,0.15929778406566464,1.6014995874780737,-0.16319740441550168,0.099467889540025,187.46108814656048,1.1679668428683063,1.3750000000000002,2808,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_70_30_60_40_k_20,0.6,0.4,0.2,weighted_70_30,0.7,0.3,10.0,0.19096443288795584,1.5045385700454068,-0.22003966829026889,0.12692558149718458,177.37752613851717,1.11225812969386,1.2966684471990715,4582,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_70_30_60_40_k_30,0.6,0.4,0.3,weighted_70_30,0.7,0.3,10.0,0.19662042892315656,1.7066948745676802,-0.18980018413040256,0.11520537844994826,226.51107107182392,1.1192210791514237,1.3450026707986074,4582,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_70_30_60_40_k_40,0.6,0.4,0.4,weighted_70_30,0.7,0.3,10.0,0.19853462499403363,1.8548117721034465,-0.16807713014013592,0.10703761318534534,273.3994636638818,1.1261663624345815,1.375,4445,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_70_30_50_50_k_20,0.5,0.5,0.2,weighted_70_30,0.7,0.3,10.0,0.18125858209580525,1.6351185242259965,-0.18638656406696297,0.11085348212393731,182.31503623258976,1.1370038771933153,1.3466684471990713,4582,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_70_30_50_50_k_30,0.5,0.5,0.3,weighted_70_30,0.7,0.3,10.0,0.18297534820317796,1.7697119940494976,-0.165608637273573,0.10339272651053766,228.47499030546157,1.1439569704672086,1.375,4382,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_70_30_50_50_k_40,0.5,0.5,0.4,weighted_70_30,0.7,0.3,10.0,0.17676470950906364,1.743885680783339,-0.16370626301333124,0.1013625557322441,249.97239367140224,1.1502753976097773,1.3750000000000002,3613,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_70_30_40_60_k_20,0.4,0.6,0.2,weighted_70_30,0.7,0.3,10.0,0.1672060365488588,1.6623648989339312,-0.1637983444043134,0.10058323335393296,182.1457113000239,1.161730917838067,1.3750000000000002,4130,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_70_30_40_60_k_30,0.4,0.6,0.3,weighted_70_30,0.7,0.3,10.0,0.16083702287540325,1.6140046657608067,-0.16318893285660163,0.09965090330119224,191.08406218613163,1.1670420125039445,1.3750000000000002,3057,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_70_30_40_60_k_40,0.4,0.6,0.4,weighted_70_30,0.7,0.3,10.0,0.15771981274268643,1.588003617099927,-0.1631217717086466,0.09931955509693384,188.22205697453126,1.170442841832514,1.3750000000000002,2464,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_30_70_60_40_k_20,0.6,0.4,0.2,weighted_30_70,0.3,0.7,10.0,0.18860819162460407,1.4531653446934674,-0.22732271477417254,0.12979128102204318,144.0673121186827,1.1057848184560266,1.2922263767978335,4582,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_30_70_60_40_k_30,0.6,0.4,0.3,weighted_30_70,0.3,0.7,10.0,0.19316933709612183,1.6197433121301128,-0.20102911508444932,0.11925922808231029,176.4527793941121,1.1095111122946735,1.3383395651967505,4582,True,True,True
