universe,sleeve,vol_sleeve,trend_sleeve,sharpe,max_dd,equal_weight_sharpe,trend_crisis_corr_vs_vol,blend_crisis_corr_vs_vol,passes_gate
sp500_dynamic,blend_vol_top_20_trend_6m_long_cash_70_30,vol_top_20,trend_6m_long_cash,0.8353087915138327,-0.4992684144001046,0.7783994036245333,-0.09989776553996707,0.9971830595738327,False
sp500_dynamic,blend_vol_top_20_trend_6m_long_cash_60_40,vol_top_20,trend_6m_long_cash,0.9047884427715156,-0.45088956599916474,0.7783994036245333,-0.09989776553996707,0.9931676526008436,False
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_cash_80_20,vol_top_20,trend_3m_6m_long_cash,0.7910133421373343,-0.544010707585294,0.7783994036245333,-0.11509571654720092,0.9990001171559375,False
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_cash_70_30,vol_top_20,trend_3m_6m_long_cash,0.8629032563751835,-0.4992684144001047,0.7783994036245333,-0.11509571654720092,0.9970483548452478,False
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_cash_60_40,vol_top_20,trend_3m_6m_long_cash,0.9468148930580711,-0.45088956599916485,0.7783994036245333,-0.11509571654720092,0.9928321596175235,False
sp500_dynamic,blend_vol_top_20_trend_3m_long_short_80_20,vol_top_20,trend_3m_long_short,0.7625517050189158,-0.5417523029238487,0.7783994036245333,-0.23080242144918953,0.9989747295522102,False
sp500_dynamic,blend_vol_top_20_trend_3m_long_short_70_30,vol_top_20,trend_3m_long_short,0.8151019947487705,-0.49562512463177855,0.7783994036245333,-0.23080242144918953,0.9969494551078487,False
sp500_dynamic,blend_vol_top_20_trend_3m_long_short_60_40,vol_top_20,trend_3m_long_short,0.8746103359630201,-0.4456707932354973,0.7783994036245333,-0.23080242144918953,0.9925140148078201,False
sp500_dynamic,blend_vol_top_20_trend_6m_long_short_80_20,vol_top_20,trend_6m_long_short,0.7513713916587893,-0.5417523029238489,0.7783994036245333,-0.22648229396504524,0.9990645408141766,False
sp500_dynamic,blend_vol_top_20_trend_6m_long_short_70_30,vol_top_20,trend_6m_long_short,0.7963059588703562,-0.49562512463177844,0.7783994036245333,-0.22648229396504524,0.9972186665138889,False
sp500_dynamic,blend_vol_top_20_trend_6m_long_short_60_40,vol_top_20,trend_6m_long_short,0.8460807045331594,-0.4456707932354973,0.7783994036245333,-0.22648229396504524,0.9931796766849981,False
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_short_80_20,vol_top_20,trend_3m_6m_long_short,0.7705047554950527,-0.5417523029238487,0.7783994036245333,-0.22818992413422134,0.9989937253313433,False
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_short_70_30,vol_top_20,trend_3m_6m_long_short,0.8285986690400697,-0.49562512463177855,0.7783994036245333,-0.22818992413422134,0.9970067813569226,False
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_short_60_40,vol_top_20,trend_3m_6m_long_short,0.8953086411908059,-0.4456707932354973,0.7783994036245333,-0.22818992413422134,0.992657000643444,False
