date,variant,gross_before,gross_after,scale,projection_reason
2008-07-16,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-17,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-18,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-21,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-22,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-23,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-24,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-25,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-28,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-29,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-30,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-31,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-01,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-04,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-05,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-06,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-07,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-08,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-11,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-12,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-13,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-14,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-15,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-08-18,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,none
2008-08-19,b2_every_2_no_projection,1.3390533759516845,1.3390533759516845,1.0,held
