universe,sleeve,sleeve_type,cagr,sharpe,max_dd,volatility,turnover_sum,n_rebalances,target_beta,avg_realized_beta,vol_sleeve,defensive_sleeve,vol_weight,defensive_weight
sp500_dynamic,blend_vol_top_10_defensive_stability_top_30_equal_weight_50_50,blend,0.20856262317400853,0.6643442082132996,-0.6231507979665502,0.31393759529404336,148.36666666666667,239,,1.4877672061497553,vol_top_10,defensive_stability_top_30_equal_weight,0.5,0.5
sp500_dynamic,blend_vol_top_10_defensive_stability_top_30_equal_weight_70_30,blend,0.23367853539863503,0.6144336635961369,-0.6915533923292361,0.3803153200151324,147.33999999999997,239,,1.7540092515774037,vol_top_10,defensive_stability_top_30_equal_weight,0.7,0.3
sp500_dynamic,blend_vol_top_10_defensive_stability_top_30_equal_weight_40_60,blend,0.19363668891429908,0.6853011859319903,-0.5921855424062735,0.2825570608796753,148.8799999999999,239,,1.354646183435931,vol_top_10,defensive_stability_top_30_equal_weight,0.4,0.6
sp500_dynamic,blend_vol_top_10_defensive_stability_top_50_equal_weight_60_40,blend,0.21874499392402225,0.6250301755484998,-0.6644705469460734,0.3499750931737991,138.1520000000001,239,,1.6311813124295949,vol_top_10,defensive_stability_top_50_equal_weight,0.6,0.4
sp500_dynamic,blend_vol_top_10_defensive_stability_top_50_equal_weight_50_50,blend,0.20480881543225538,0.6439353869478983,-0.6326221088455182,0.31805802194378663,136.2400000000001,239,,1.5006335606072745,vol_top_10,defensive_stability_top_50_equal_weight,0.5,0.5
sp500_dynamic,blend_vol_top_10_defensive_stability_top_50_equal_weight_70_30,blend,0.23115676853944978,0.6037970963426157,-0.6963659012928881,0.38283848984971486,140.0639999999998,239,,1.7617290642519154,vol_top_10,defensive_stability_top_50_equal_weight,0.7,0.3
sp500_dynamic,blend_vol_top_10_defensive_stability_top_50_equal_weight_40_60,blend,0.18940263903325838,0.6590147742763959,-0.6041118357491209,0.2874027205857777,134.32799999999995,239,,1.3700858087849541,vol_top_10,defensive_stability_top_50_equal_weight,0.4,0.6
sp500_dynamic,blend_vol_top_10_defensive_stability_top_30_beta_0_6_60_40,blend,0.21568583546296893,0.6511103205223377,-0.653394871681265,0.3312585112918193,169.16852019301132,239,,1.533308909686947,vol_top_10,defensive_stability_top_30_beta_0_6,0.6,0.4
sp500_dynamic,blend_vol_top_10_defensive_stability_top_30_beta_0_6_50_50,blend,0.1999743447526896,0.6780056321378201,-0.6173707949544307,0.29494496103542733,175.01065024126413,239,,1.3782930571789647,vol_top_10,defensive_stability_top_30_beta_0_6,0.5,0.5
sp500_dynamic,blend_vol_top_10_defensive_stability_top_30_beta_0_6_70_30,blend,0.2294869249381699,0.6224194166573997,-0.6880223052024106,0.36870142350409213,163.3263901447585,239,,1.6883247621949296,vol_top_10,defensive_stability_top_30_beta_0_6,0.7,0.3
sp500_dynamic,blend_vol_top_10_defensive_stability_top_30_beta_0_6_40_60,blend,0.1824292446742144,0.7010203348539443,-0.5802796395768304,0.2602338842456304,180.85599132715473,239,,1.2232772046709823,vol_top_10,defensive_stability_top_30_beta_0_6,0.4,0.6
sp500_dynamic,blend_vol_top_10_defensive_stability_top_50_beta_0_6_60_40,blend,0.20271002140033922,0.6084859451158248,-0.6726888405176269,0.33313837900028004,162.52456553427965,239,,1.5323777597550494,vol_top_10,defensive_stability_top_50_beta_0_6,0.6,0.4
